"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(0  1),0.174087375,0.010625,2,0.174087375,40,2
(0  2),0.34817475,0.01125,2,0.34817475,40,2
(0  3),0.522262125,0.011875,2,0.522262125,40,3
(0  4),0.6963495,0.0125,2,0.6963495,40,3
(0  5),0.870436875,0.013125,2,0.870436875,40,3
(0  6),1.04452425,0.01375,2,1.04452425,40,3
(0  7),1.218611625,0.014375,2,1.218611625,40,4
(0  8),1.392699,0.015,2,1.392699,40,4
(0  9),1.566786375,0.015625,2,1.566786375,40,4
(0  10),1.74087375,0.01625,2,1.74087375,40,5
(0  11),1.914961125,0.016875,2,1.914961125,40,5
(0  12),2.0890485,0.0175,2,2.0890485,40,5
(0  13),2.263135875,0.018125,2,2.263135875,40,6
(0  14),2.43722325,0.01875,2,2.43722325,40,6
