"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(12  11),8.642699,0.01,2.0,8.642699,25,7
(12  13),0.125,0.0,2.0,0.125,30,6
(12  14),0.0,0.0,2.0,0.0,20,8
(12  15),0.125,0.0,2.0,0.125,10,17
(13  0),8.392699,0.01,2.0,8.392699,5,33
(13  1),8.517699,0.01,2.0,8.517699,5,33
(13  2),8.392699,0.01,2.0,8.392699,20,9
(13  3),8.517699,0.01,2.0,8.517699,25,7
(13  4),8.392699,0.01,2.0,8.392699,10,17
(13  5),8.517699,0.01,2.0,8.517699,20,9
(13  6),8.392699,0.01,2.0,8.392699,25,7
(13  7),8.517699,0.01,2.0,8.517699,20,9
(13  8),8.392699,0.01,2.0,8.392699,25,7
(13  9),8.517699,0.01,2.0,8.517699,30,6
(13  10),8.392699,0.01,2.0,8.392699,20,9
(13  11),8.517699,0.01,2.0,8.517699,5,33
(13  12),8.392699,0.01,2.0,8.392699,25,7
(13  14),0.125,0.0,2.0,0.125,25,7
(13  15),0.0,0.0,2.0,0.0,30,6
(14  0),8.517699,0.01,2.0,8.517699,5,33
(14  1),8.642699,0.01,2.0,8.642699,30,6
(14  2),8.517699,0.01,2.0,8.517699,10,17
(14  3),8.642699,0.01,2.0,8.642699,20,9
(14  4),8.517699,0.01,2.0,8.517699,5,33
(14  5),8.642699,0.01,2.0,8.642699,20,9
(14  6),8.517699,0.01,2.0,8.517699,30,6
(14  7),8.642699,0.01,2.0,8.642699,15,11
(14  8),8.517699,0.01,2.0,8.517699,30,6
(14  9),8.642699,0.01,2.0,8.642699,10,17
(14  10),8.517699,0.01,2.0,8.517699,20,9
(14  11),8.642699,0.01,2.0,8.642699,20,9
(14  12),8.517699,0.01,2.0,8.517699,30,6
(14  13),8.642699,0.01,2.0,8.642699,5,33
(14  15),0.125,0.0,2.0,0.125,25,7
(15  0),8.392699,0.01,2.0,8.392699,5,33
(15  1),8.517699,0.01,2.0,8.517699,15,11
(15  2),8.392699,0.01,2.0,8.392699,15,11
(15  3),8.517699,0.01,2.0,8.517699,10,17
